"bits";"slow";"generic";"barrett";
3;667.9;570.3;163.9;
4;993.7;587.3;167.5;
5;1326.5;619.9;175.3;
6;1665.4;631.7;185.6;
7;2009.3;656.0;196.6;
8;2373.3;685.7;205.5;
9;2729.2;700.3;219.7;
10;3601.6;732.3;269.6;
11;4100.6;747.0;286.4;
12;4675.5;773.9;299.0;
13;5217.0;785.1;318.7;
14;5880.6;809.1;333.3;
15;6431.0;826.4;345.8;
16;7067.4;847.4;357.2;
17;7822.0;871.2;374.2;
18;8461.2;888.8;388.3;
19;9306.5;910.6;401.8;
20;10148.7;935.2;418.8;
21;10907.8;946.6;429.9;
22;11879.4;976.5;449.4;
23;12564.2;982.8;458.7;
24;13654.1;1010.7;474.3;
25;14251.1;1021.3;486.3;
26;14984.6;1034.5;498.6;
27;15933.4;1053.6;514.7;
28;17187.1;1082.4;531.2;
29;17965.1;1087.0;542.6;
30;19494.1;1115.9;566.4;
31;20736.7;1143.7;594.9;
32;21643.9;1176.6;637.5;
33;22550.7;1288.4;700.4;
34;23727.0;1706.0;814.5;
35;25137.2;1960.8;861.9;
36;26277.2;2075.7;872.8;
37;27462.3;2172.0;895.0;
38;29387.4;2247.3;892.2;
39;30105.1;2314.5;914.2;
40;32183.7;2388.6;943.1;
41;32803.6;2433.4;953.3;
42;34607.2;2493.2;957.7;
43;36583.7;2550.6;1006.0;
44;38004.9;2579.7;996.9;
45;39169.6;2636.9;1018.8;
46;40957.4;2691.5;1075.5;
47;41776.4;2718.0;1053.0;
48;44346.7;2799.8;1086.3;
49;45921.2;2844.9;1117.7;
50;47835.1;2896.7;1127.2;
51;49230.6;2924.5;1112.8;
52;50749.1;3002.5;1183.8;
53;52499.5;3047.4;1178.6;
54;54835.3;3106.8;1243.0;
55;56342.1;3148.8;1230.0;
56;57954.8;3240.8;1267.8;
57;60128.3;3258.4;1290.7;
58;61508.4;3325.4;1315.0;
59;64616.6;3377.6;1344.4;
60;66227.6;3398.9;1333.6;
61;67875.7;3465.2;1409.1;
62;70366.6;3515.0;1425.5;
63;71324.8;3530.8;1380.3;
64;73599.5;3609.2;1748.3;
65;76044.5;7757.1;2957.1;
66;78815.2;7938.1;3091.2;
67;80868.3;8234.4;3013.7;
68;83158.4;8448.3;3127.0;
69;85020.2;8495.5;3114.4;
70;86990.7;8641.8;3170.5;
71;92928.8;9074.2;3267.5;
72;94413.4;9059.9;3224.5;
73;97039.7;9240.9;3351.8;
74;98129.5;9350.2;3370.6;
75;98623.7;9237.9;3311.6;
76;102437.0;9299.2;3252.4;
77;105331.3;9535.6;3407.8;
78;106731.9;9677.2;3441.2;
79;110865.2;9891.2;3576.4;
80;112661.8;10013.9;3596.6;
81;115774.0;11552.2;3568.6;
82;117486.5;11546.3;3692.6;
83;119164.0;12688.6;3755.2;
84;121623.7;13249.3;3736.7;
85;126816.9;14309.6;3799.6;
86;129849.7;14680.9;3805.2;
87;132537.1;14970.5;3931.3;
88;134579.3;20384.7;3964.9;
89;137752.6;20499.9;3875.0;
90;140471.9;20897.6;4031.2;
91;140996.4;20853.5;4000.3;
92;145823.0;21271.4;4101.1;
93;150238.1;21615.8;4186.6;
94;152394.6;21729.5;4132.8;
95;153576.6;21813.2;4199.5;
96;156317.5;22032.0;4281.7;
97;162437.3;23921.5;4332.2;
98;165339.5;25695.8;4216.9;
99;167447.4;26215.4;4310.8;
100;169018.1;26561.2;4400.6;
101;174063.7;27663.5;4402.1;
102;175454.1;27818.7;4401.4;
103;179932.5;28551.8;4554.0;
104;183356.9;45513.5;4677.6;
105;187569.5;46413.3;4582.3;
106;192069.2;47531.2;4823.7;
107;195824.9;48204.6;4745.7;
108;197991.8;47981.4;4742.7;
109;201157.3;48444.7;4763.9;
110;205340.9;48778.2;4847.4;
111;206129.5;48967.6;4804.6;
112;208636.4;49431.8;4857.3;
113;214229.9;51363.7;4874.3;
114;216265.5;65487.8;5013.3;
115;221081.0;65273.8;5029.5;
116;226678.0;65523.8;5136.9;
117;237204.3;66755.8;5263.2;
118;238701.5;66978.9;5351.9;
119;240052.5;65912.8;5361.0;
120;241617.0;65645.4;5341.4;
121;256482.7;68056.3;5586.0;
122;262755.3;69061.2;5614.0;
123;256501.3;64442.9;5531.3;
124;254580.7;63192.0;5278.9;
125;267028.0;65223.2;5600.7;
126;272365.6;65321.6;5766.7;
127;266944.1;62423.5;5793.6;
128;270705.6;64618.5;7499.1;
