"bits";"slow";"generic";
3;695.7;341.6;
4;1037.6;358.5;
5;1388.4;391.1;
6;1746.9;409.7;
7;2101.4;436.5;
8;2488.1;464.1;
9;2858.1;484.6;
10;3748.9;514.9;
11;4265.7;529.7;
12;4836.1;557.5;
13;5405.8;571.0;
14;6078.1;595.4;
15;6655.3;615.0;
16;7309.0;635.9;
17;8087.0;663.7;
18;8762.0;685.9;
19;9636.0;711.8;
20;10488.5;741.7;
21;11275.0;755.9;
22;12300.7;789.2;
23;12920.2;793.8;
24;14089.4;824.1;
25;14679.4;839.8;
26;15477.6;857.0;
27;16492.7;882.9;
28;17737.1;908.7;
29;18535.4;917.8;
30;20098.1;943.5;
31;21360.5;972.1;
32;22287.1;1004.2;
33;23228.5;1131.3;
34;24507.4;1560.0;
35;25956.3;1819.2;
36;27101.9;1942.3;
37;28301.0;2040.4;
38;30248.5;2136.8;
39;30985.1;2192.6;
40;33125.3;2268.8;
41;33745.4;2327.7;
42;35614.6;2368.1;
43;37668.9;2437.3;
44;39104.6;2486.0;
45;40310.7;2551.1;
46;42077.5;2615.0;
47;42926.1;2646.0;
48;45512.2;2713.1;
49;47119.3;2756.8;
50;49105.0;2821.3;
51;50512.1;2868.1;
52;52003.9;2932.6;
53;53795.1;2976.2;
54;56187.4;3044.6;
55;57660.4;3097.0;
56;59387.4;3168.0;
57;61595.4;3201.8;
58;62899.6;3269.6;
59;66049.6;3324.5;
60;67762.9;3363.6;
61;69481.6;3425.6;
62;71921.9;3482.2;
63;72948.8;3510.2;
64;75300.1;3596.9;
65;77661.9;7504.9;
66;80248.2;7663.8;
67;82704.4;11875.9;
68;84622.6;12014.7;
69;86607.6;12185.0;
70;88622.5;12421.2;
71;91787.0;12599.4;
72;93957.2;12761.1;
73;97424.0;14374.1;
74;98536.0;14512.9;
75;100892.1;15473.4;
76;104367.4;16335.5;
77;106939.4;16908.9;
78;108897.9;17158.7;
79;112179.2;17646.5;
80;114009.3;17911.9;
81;117774.7;18229.9;
82;118320.0;18339.4;
83;121308.6;18656.0;
84;123559.3;18972.1;
85;128231.7;19279.3;
86;131647.6;19585.0;
87;134187.0;19756.8;
88;135704.8;19989.9;
89;139857.3;20235.1;
90;142628.3;20556.0;
91;143875.7;20679.7;
92;147751.0;21125.9;
93;152024.9;21376.6;
94;154777.7;21555.8;
95;156379.7;21664.6;
96;159016.6;21910.5;
97;164336.0;23470.0;
98;167928.7;25341.9;
99;170029.7;25858.3;
100;171893.0;26315.5;
101;177005.0;27400.1;
102;178523.8;27580.1;
103;183028.1;28353.5;
104;185215.5;44721.8;
105;189995.7;45819.0;
106;191929.9;46161.3;
107;195500.7;46666.5;
108;199932.1;47381.4;
109;204259.6;48087.0;
110;208327.2;48427.5;
111;209487.0;48587.6;
112;212312.6;49063.5;
113;217954.4;51007.3;
114;220634.8;65116.8;
115;225026.5;64899.5;
116;229902.2;64937.3;
117;234718.7;64390.9;
118;236722.8;64170.0;
119;239231.0;63958.0;
120;242979.7;63685.0;
121;249260.7;63572.3;
122;253316.4;63096.8;
123;257281.3;62874.4;
124;258628.5;62376.4;
125;264630.2;62240.5;
126;268077.7;61933.1;
127;270544.7;61697.7;
128;275463.9;62850.2;
