"bits";"slow sprp";"textbook";"optimized sprp";
3;12.7;67.5;20.0;
4;12.7;72.0;19.8;
5;12.7;73.7;19.3;
6;12.7;77.6;21.3;
7;12.7;79.0;29.4;
8;12.8;83.8;80.9;
9;12.9;89.0;55.2;
10;12.9;103.3;55.6;
11;12.8;111.3;75.4;
12;12.9;113.5;72.9;
13;12.8;130.3;74.4;
14;12.9;138.8;102.8;
15;12.8;145.1;93.6;
16;12.8;151.6;92.7;
17;12.9;155.5;117.6;
18;12.9;167.9;110.9;
19;12.8;170.5;109.7;
20;12.8;179.4;136.5;
21;12.8;184.7;128.3;
22;12.9;191.5;127.1;
23;12.9;198.2;155.7;
24;12.7;205.5;145.3;
25;12.8;209.1;144.3;
26;12.8;218.7;172.9;
27;12.8;223.4;162.9;
28;12.8;231.6;162.8;
29;12.8;235.7;189.3;
30;12.7;243.2;179.0;
31;12.9;248.3;179.4;
32;12.8;255.9;205.9;
33;12.8;260.8;196.9;
34;12.8;269.2;196.6;
35;12.8;273.2;224.0;
36;12.9;283.0;215.5;
37;12.8;284.8;213.0;
38;12.8;292.9;242.1;
39;12.9;301.7;233.7;
40;12.7;305.2;230.3;
41;12.8;310.5;259.9;
42;12.9;318.5;250.6;
43;12.7;323.4;247.3;
44;12.9;331.2;278.7;
45;12.8;337.8;268.1;
46;12.9;343.5;264.2;
47;12.8;349.9;296.0;
48;12.9;359.1;285.6;
49;12.8;361.9;282.6;
50;12.8;371.0;313.6;
51;12.8;375.0;306.9;
52;12.8;381.9;302.2;
53;12.8;386.0;331.5;
54;13.0;396.1;330.2;
55;12.8;404.7;328.8;
56;12.6;408.0;654.3;
57;12.7;412.6;652.7;
58;12.7;420.0;660.1;
59;12.8;430.4;685.3;
60;12.7;440.1;682.7;
61;12.6;470.7;690.3;
62;12.8;848.4;719.1;
63;12.6;915.1;714.4;
64;12.7;1088.1;726.6;
65;12.7;988.6;701.4;
66;12.7;1011.7;815.9;
67;12.8;1034.2;866.8;
68;12.7;1040.4;868.2;
69;12.7;1057.5;879.4;
70;12.6;1071.0;894.4;
71;12.6;1081.0;904.6;
72;12.7;1091.1;911.1;
73;12.7;1107.0;923.4;
74;13.0;1134.7;944.5;
75;12.6;1135.0;952.6;
76;12.7;1149.7;959.0;
77;12.6;1170.2;980.1;
78;12.9;1176.8;983.0;
79;12.9;1192.4;1001.0;
80;13.0;1213.9;1015.4;
81;12.8;1218.4;1023.6;
82;12.7;1235.4;1034.9;
83;12.7;1259.8;1055.5;
84;12.8;1267.9;1058.5;
85;12.6;1278.4;1072.9;
86;12.6;1299.3;1090.7;
87;12.7;1315.5;1098.1;
88;12.7;1321.3;1105.4;
89;12.6;1343.0;1124.9;
90;12.6;1350.3;1131.6;
91;12.7;1362.7;1143.5;
92;12.6;1387.5;1165.9;
93;12.6;1388.4;1167.0;
94;12.6;1407.8;1181.5;
95;12.6;1425.7;1200.7;
96;12.6;1436.8;1208.3;
97;12.7;1449.8;1219.8;
98;12.7;1472.6;1238.6;
99;12.8;1487.1;1244.6;
100;12.6;1492.8;1253.1;
101;12.6;1512.5;1275.6;
102;12.7;1520.4;1278.5;
103;12.6;1532.2;1290.4;
104;12.6;1553.7;1314.9;
105;12.6;1564.5;1313.4;
106;12.6;1576.8;1323.6;
107;12.6;1599.8;1343.6;
108;12.6;1609.8;1355.3;
109;12.8;1624.5;1362.6;
110;12.6;1636.4;1375.1;
111;12.9;1659.1;1396.1;
112;12.6;1671.6;1407.4;
113;12.6;1676.7;1413.2;
114;13.2;1702.2;1432.0;
115;12.8;1708.7;1439.7;
116;12.9;1719.7;1452.1;
117;13.1;1744.5;1479.2;
118;12.9;1748.4;1482.4;
119;12.8;1764.1;1499.7;
120;12.7;1783.7;1790.5;
121;12.7;1795.4;1793.8;
122;12.7;1808.0;1802.2;
123;12.7;1837.7;1841.8;
124;12.7;1865.4;1859.8;
125;12.7;2399.5;2246.5;
126;13.3;2882.2;2375.0;
127;12.6;3228.1;2390.3;
128;12.9;3362.2;2351.5;
